"所在地_測定局名","平成21年度(2009)(ppm)","平成22年度(2010)(ppm)","平成23年度(2011)(ppm)","平成24年度(2012)(ppm)","平成25年度(2013)(ppm)"
"和歌山市_環境衛生研究ｾﾝﾀ-","0.035","0.031","0.028","0.03","0.029"
"和歌山市_西保健センター","0.031","0.031","0.03","0.031","0.033"
"和歌山市_明和中学校","0.036","0.036","0.033","0.036","0.039"
"和歌山市_中之島小学校","0.031","0.033","0.029","0.034","0.032"
"和歌山市_小倉小学校","0.036","0.034","0.032","0.035","0.038"
"和歌山市_市立和歌山高校","0.031","0.032","0.029","0.033","0.037"
"和歌山市_清明寮","0.037","0.036","0.035","0.038","0.04"
"","","","","",""
"海 南 市_黒江小学校","0.039","0.036","0.029","0.037","0.035"
"海 南 市_海南市役所","0.032","0.033","0.03","0.033","0.036"
"海 南 市_内海小学校","0.034","0.033","0.032","0.036","0.038"
"海 南 市_消防東出張所","0.03","0.033","0.03","0.033","0.034"
"海 南 市_加茂郷","0.036","0.032","0.03","0.04","0.04"
"","","","","",""
"有 田 市_有田市初島公民館","0.036","0.034","0.032","0.036","0.036"
